application_name,volume_mn,value_cr,month
DBS Digibank Apps,0.58,203.03,01-12-2024
UCO Bank Apps,0.58,154.26,01-12-2024
Salary Se #,0.48,23.87,01-12-2024
Central Bank of India Apps,0.42,126.34,01-12-2024
Tata Pay #,0.42,148.43,01-12-2024
Standard Chartered Bank Apps,0.36,116.53,01-12-2024
Bank of India Apps,0.34,108.52,01-12-2024
Jar #,0.33,8.42,01-12-2024
Spice Money,0.32,30.58,01-12-2024
Rapipay,0.3,29.39,01-12-2024
Karnataka Bank Apps,0.27,63.02,01-12-2024
Dhani,0.21,9.42,01-12-2024
Indian Overseas Bank Apps,0.2,53.88,01-12-2024
True Balance,0.18,6.09,01-12-2024
Oxymoney,0.16,10.58,01-12-2024
IDBI Bank Apps,0.16,71.99,01-12-2024
Obopay,0.15,23.14,01-12-2024
Karur Vysya Bank Apps,0.12,43.7,01-12-2024
TwidPay #,0.11,12.18,01-12-2024
Tamilnad Mercantile Bank Apps,0.1,34.64,01-12-2024
Payworld,0.08,7.81,01-12-2024
Ultracash #,0.08,6.31,01-12-2024
Unity Small Finance Bank Apps,0.08,24.79,01-12-2024
City Union Bank Apps,0.07,29.85,01-12-2024
Bank of Maharashtra Apps,0.04,10.94,01-12-2024
Curie Money #,0.04,3.25,01-12-2024
Punjab Sind Bank Apps,0.03,11.81,01-12-2024
Equitas Small Finance Bank Apps,0.03,10.2,01-12-2024
Freo #,0.03,1.84,01-12-2024
Cheq,0.02,2.44,01-12-2024
LXME #,0.02,1.65,01-12-2024
Others,2.54,244.75,01-12-2024
Samsung Pay #,11.36,745.25,01-12-2025
POP UPI,9.38,705.72,01-12-2025
Jio Payments Bank Apps,6.39,440.97,01-12-2025
Jupiter Money #,6.09,966.07,01-12-2025
Deutsche Bank Apps,5.36,827.1,01-12-2025
NSDL Payments Bank Apps,3.77,316.05,01-12-2025
Kiwi #,3.1,439.43,01-12-2025
Punjab National Bank Apps,2.96,748.71,01-12-2025
Flipkart UPI #,2.8,152.97,01-12-2025
Fi Money #,2.59,381.14,01-12-2025
Jammu and Kashmir Bank Apps,2.5,390.02,01-12-2025
Suryoday Bank Apps,2.5,5.76,01-12-2025
Bharat Pe #,2.46,206.84,01-12-2025
Bank of Baroda Apps,2.25,566.75,01-12-2025
Omni Card,1.95,134.81,01-12-2025
Timepay #,1.81,37.13,01-12-2025
Money View #,1.79,103.65,01-12-2025
IndusInd Bank Apps,1.7,266.09,01-12-2025
Indian Bank Apps,1.59,474.12,01-12-2025
KreditBee #,1.57,77.28,01-12-2025
Aditya Birla Capital Digital #,1.46,26.21,01-12-2025
Shri Ram One #,1.43,111.67,01-12-2025
ESAF Small Finance Bank Apps,1.28,133.33,01-12-2025
HSBC Bank Apps,1.26,156.91,01-12-2025
Digikhata,1.25,421.6,01-12-2025
Oxymoney,1.01,16.97,01-12-2025
Fino Payments Bank Apps,1,87.85,01-12-2025
Union Bank Apps,0.94,273.39,01-12-2025
South Indian Bank Apps,0.93,273.46,01-12-2025
AU Small Finance Bank Apps,0.81,264.18,01-12-2025
DBS Digibank Apps,0.63,224.56,01-12-2025
One Card #,0.62,784.25,01-12-2025
Kredit Pe #,0.61,54.13,01-12-2025
UCO Bank Apps,0.6,164.56,01-12-2025
Freo #,0.59,56.56,01-12-2025
Central Bank of India Apps,0.46,150.27,01-12-2025
Salary Se #,0.42,25.24,01-12-2025
Standard Chartered Bank Apps,0.41,122.83,01-12-2025
Rapipay,0.4,33.66,01-12-2025
Bank of India Apps,0.38,120.71,01-12-2025
Tata Pay #,0.37,126.35,01-12-2025
Spice Money,0.36,32.52,01-12-2025
Karnataka Bank Apps,0.29,68.64,01-12-2025
Jar #,0.25,6.05,01-12-2025
True Balance,0.21,7.24,01-12-2025
Dhani,0.21,9.1,01-12-2025
Indian Overseas Bank Apps,0.19,52.64,01-12-2025
IDBI Bank Apps,0.17,84.4,01-12-2025
Obopay,0.17,26.26,01-12-2025
Karur Vysya Bank Apps,0.13,45.88,01-12-2025
TwidPay #,0.13,15.83,01-12-2025
Tamilnad Mercantile Bank Apps,0.11,39.25,01-12-2025
Payworld,0.1,10.22,01-12-2025
Unity Small Finance Bank Apps,0.08,26.45,01-12-2025
City Union Bank Apps,0.07,29.47,01-12-2025
Saathi by PayNearBy #,0.06,6.09,01-12-2025
Bank of Maharashtra Apps,0.06,17.64,01-12-2025
Ultracash #,0.05,3.7,01-12-2025
Curie Money #,0.05,2.71,01-12-2025
Equitas Small Finance Bank Apps,0.05,14.17,01-12-2025
Cheq #,0.04,3.88,01-12-2025
Fave,0.03,7.04,01-12-2025
LXME #,0.03,2.43,01-12-2025
Punjab Sind Bank Apps,0.03,12.97,01-12-2025
Others,2.89,272.54,01-12-2025
Bharat Pe #,2.72,224.48,01-02-2024
Samsung Pay #,10.29,679.66,01-02-2024
POP UPI #,8.48,662.57,01-02-2024
Jio Payments Bank Apps,6.64,449.17,01-02-2024
Jupiter Money #,5.35,897.61,01-02-2024
Deutsche Bank Apps,4.85,791.38,01-02-2024
Canara Bank Apps,3.61,972.59,01-02-2024
Money View #,2.83,157.81,01-02-2024
Kiwi #,2.65,434.15,01-02-2024
Jammu and Kashmir Bank Apps,2.65,394.59,01-02-2024
KreditBee #,2.44,142.33,01-02-2024
Flipkart UPI #,2.39,115.59,01-02-2024
Suryoday Bank Apps,2.37,13.3,01-02-2024
Punjab National Bank Apps,1.96,536.12,01-02-2024
Fi Money #,1.92,299.83,01-02-2024
Aditya Birla Capital Digital #,1.87,25.79,01-02-2024
Timepay #,1.23,21.55,01-02-2024
Omni Card,1.77,92.21,01-02-2024
Indian Bank Apps,1.45,455.61,01-02-2024
Bank of Baroda Apps,1.44,425.74,01-02-2024
Digikhata,1.31,472.46,01-02-2024
HSBC Bank Apps,1.25,148.32,01-02-2024
IndusInd Bank Apps,1.17,197.23,01-02-2024
NSDL Payments Bank Apps,0.96,277.82,01-02-2024
AU Small Finance Bank Apps,0.85,277.08,01-02-2024
Union Bank Apps,0.84,241.03,01-02-2024
South Indian Bank Apps,0.84,266.22,01-02-2024
Freo #,0.77,72.69,01-02-2024
Shri Ram One #,0.71,82.45,01-02-2024
Kredit Pe #,0.67,58.61,01-02-2024
Jar #,0.63,19.07,01-02-2024
UCO Bank Apps,0.57,161.22,01-02-2024
One Card #,0.57,684.4,01-02-2024
DBS Digibank Apps,0.55,205.24,01-02-2024
Fino Payments Bank Apps,0.52,51.55,01-02-2024
Salary Se #,0.48,38.44,01-02-2024
Central Bank of India Apps,0.47,165.55,01-02-2024
Rapipay,0.47,33.53,01-02-2024
Standard Chartered Bank Apps,0.46,109.71,01-02-2024
Spice Money,0.39,35.08,01-02-2024
ESAF Small Finance Bank Apps,0.35,38.36,01-02-2024
Tata Pay #,0.29,101.76,01-02-2024
Bank of India Apps,0.26,89.73,01-02-2024
Karnataka Bank Apps,0.26,63.38,01-02-2024
IDBI Bank Apps,0.19,94.62,01-02-2024
Obopay,0.19,30.31,01-02-2024
Saathi by PayNearBy #,0.19,23.54,01-02-2024
True Balance,0.19,6.55,01-02-2024
Dhani,0.19,8.16,01-02-2024
TwidPay #,0.14,14.73,01-02-2024
Karur Vysya Bank Apps,0.13,46.09,01-02-2024
Indian Overseas Bank Apps,0.12,37.83,01-02-2024
Payworld,0.12,10.68,01-02-2024
Tamilnad Mercantile Bank Apps,0.1,39,01-02-2024
City Union Bank Apps,0.08,28.59,01-02-2024
Cheq,0.08,7.5,01-02-2024
Bank of Maharashtra Apps,0.06,22.32,01-02-2024
Equitas Small Finance Bank Apps,0.06,16.45,01-02-2024
LXME #,0.05,3.78,01-02-2024
Curie Money #,0.05,2.96,01-02-2024
Ultracash #,0.05,3.72,01-02-2024
Unity Small Finance Bank Apps,0.05,11.21,01-02-2024
Fave,0.04,8.37,01-02-2024
ZET #,0.03,2.01,01-02-2024
Punjab Sind Bank Apps,0.03,12.71,01-02-2024
Others,3.04,246.36,01-02-2024
Phone Pe #,7656.4,1118963.81,01-02-2025
Google Pay #,5836.8,771089.15,01-02-2025
Paytm #,1079.64,117090.29,01-02-2025
Navi #,260.75,14322.97,01-02-2025
super.money #,139.1,4812.44,01-02-2025
Cred #,126.48,45127.72,01-02-2025
Axis Bank Apps,117.7,9197.33,01-02-2025
Amazon Pay #,93.31,9077.3,01-02-2025
FamApp by Trio #,77.08,876.12,01-02-2025
Whatsapp #,58.86,4349.62,01-02-2025
ICICI Bank Apps,54.11,14374.53,01-02-2025
Kotak Mahindra Bank Apps,50.53,6872.1,01-02-2025
HDFC Bank Apps,47.98,10547.64,01-02-2025
Yes Bank Apps,37.78,8385.06,01-02-2025
BHIM,36.88,8475.29,01-02-2025
Mobikwik #,24.19,3733.72,01-02-2025
Airtel Payments Bank Apps,18.99,1349.23,01-02-2025
Slice #,15.31,1742.71,01-02-2025
Groww #,12.81,8383.73,01-02-2025
India Post Payments Bank Apps,12.27,1463.53,01-02-2025
IDFC Bank Apps,11.98,2158.3,01-02-2025
State Bank of India Apps,11.68,3197.67,01-02-2025
RBL Bank Apps,8.86,1421.89,01-02-2025
Bajaj Finserv #,8.39,1707.51,01-02-2025
Samsung Pay #,8.09,576.3,01-02-2025
POP UPI,7.27,419.36,01-02-2025
Jupiter Money #,5.95,858.34,01-02-2025
Flipkart UPI #,4.42,238.42,01-02-2025
Federal Bank Apps,4.08,715.26,01-02-2025
Jio Payments Bank Apps,3.66,290.56,01-02-2025
Canara Bank Apps,3.25,837.13,01-02-2025
Punjab National Bank Apps,3.19,809.91,01-02-2025
Deutsche Bank Apps,3.12,442.68,01-02-2025
Fi Money #,2.99,377.32,01-02-2025
Timepay #,2.19,28.77,01-02-2025
IndusInd Bank Apps,1.76,307.45,01-02-2025
Bank of Baroda Apps,1.72,472.44,01-02-2025
Jammu and Kashmir Bank Apps,1.57,216.84,01-02-2025
Omni Card,1.41,93.44,01-02-2025
Central Bank of India Apps,1.36,233.31,01-02-2025
Shri Ram One #,1.16,81.1,01-02-2025
Suryoday Bank Apps,1.12,193.28,01-02-2025
Kiwi #,1.01,155.81,01-02-2025
DBS Digibank Apps,1,202.69,01-02-2025
HSBC Bank Apps,0.82,186.7,01-02-2025
Ind Money #,0.78,357.98,01-02-2025
Aditya Birla Capital Digital #,0.7,29.68,01-02-2025
Digikhata,0.68,208.81,01-02-2025
Union Bank Apps,0.67,225.15,01-02-2025
One Card #,0.66,742.49,01-02-2025
Bharat Pe #,0.62,41.42,01-02-2025
South Indian Bank Apps,0.62,178.11,01-02-2025
Indian Bank Apps,0.61,168.69,01-02-2025
Fino Payments Bank Apps,0.53,68.54,01-02-2025
AU Small Finance Bank Apps,0.49,148.93,01-02-2025
UCO Bank Apps,0.35,89.18,01-02-2025
Salary Se #,0.3,15.64,01-02-2025
Tata Neu #,0.3,92.32,01-02-2025
Indian Overseas Bank Apps,0.27,67.2,01-02-2025
ESAF Small Finance Bank Apps,0.27,26.81,01-02-2025
Bank of India Apps,0.24,75.45,01-02-2025
Karnataka Bank Apps,0.23,50.92,01-02-2025
Standard Chartered Bank Apps,0.2,114.12,01-02-2025
